Datetime,Water Level (m)
2024-08-23 06:00:00,1.9393532
2024-08-23 07:00:00,1.9933822
2024-08-23 08:00:00,1.6877226
2024-08-23 09:00:00,1.0626482
2024-08-23 10:00:00,0.24825327
2024-08-23 11:00:00,-0.4973429
2024-08-23 12:00:00,-1.0401336
2024-08-23 13:00:00,-1.3250582
2024-08-23 14:00:00,-1.042062
2024-08-23 15:00:00,-0.10103727
2024-08-23 16:00:00,0.72438455
2024-08-23 17:00:00,1.4011438
2024-08-23 18:00:00,1.8506511
2024-08-23 19:00:00,1.9963918
2024-08-23 20:00:00,1.7820983
2024-08-23 21:00:00,1.2837273
2024-08-23 22:00:00,0.5962519
2024-08-23 23:00:00,-0.08809891
2024-08-24 00:00:00,-0.6454278
2024-08-24 01:00:00,-0.9954774
2024-08-24 02:00:00,-0.9864494
2024-08-24 03:00:00,-0.32926062
2024-08-24 04:00:00,0.47086373
2024-08-24 05:00:00,1.1881425
2024-08-24 06:00:00,1.6968493
2024-08-24 07:00:00,1.9458907
2024-08-24 08:00:00,1.8526438
2024-08-24 09:00:00,1.4263239
2024-08-24 10:00:00,0.7832666
2024-08-24 11:00:00,0.058533806
2024-08-24 12:00:00,-0.5214218
2024-08-24 13:00:00,-0.9024918
2024-08-24 14:00:00,-1.00999
2024-08-24 15:00:00,-0.6009706
2024-08-24 16:00:00,0.098831564
2024-08-24 17:00:00,0.79673004
2024-08-24 18:00:00,1.3889297
2024-08-24 19:00:00,1.7812164
2024-08-24 20:00:00,1.8808221
2024-08-24 21:00:00,1.6590519
2024-08-24 22:00:00,1.1672058
2024-08-24 23:00:00,0.4950419
2024-08-25 00:00:00,-0.08269833
2024-08-25 01:00:00,-0.52465844
2024-08-25 02:00:00,-0.7774613
2024-08-25 03:00:00,-0.5739288
2024-08-25 04:00:00,-0.0050009997
2024-08-25 05:00:00,0.5968334
2024-08-25 06:00:00,1.1331705
2024-08-25 07:00:00,1.5129899
2024-08-25 08:00:00,1.6476498
2024-08-25 09:00:00,1.513268
2024-08-25 10:00:00,1.1375221
2024-08-25 11:00:00,0.58807683
2024-08-25 12:00:00,0.01509421
2024-08-25 13:00:00,-0.45160466
2024-08-25 14:00:00,-0.73666906
2024-08-25 15:00:00,-0.7103194
2024-08-25 16:00:00,-0.27359927
2024-08-25 17:00:00,0.3185137
2024-08-25 18:00:00,0.8909964
2024-08-25 19:00:00,1.3459251
